Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
E30DS30_6_3_VS_DS10DS10_0_1,380,-5.078268178,8.139724917,18.06249449,27.93169251,37.48576375,45.85094756
E30DS30_6_3_VS_DS10DS10_0_1,384,-4.785916463,8.332238736,18.36329733,28.2468193,38.07304549,46.38093352
E30DS30_6_3_VS_DS10DS10_0_1,388,-4.725612655,8.465451423,18.6068044,28.54762214,38.37384833,46.59579269
E30DS30_6_3_VS_DS10DS10_0_1,392,-4.768584489,8.608690872,18.82166357,28.8197771,38.5887075,47.28334204
E30DS30_6_3_VS_DS10DS10_0_1,396,-4.768584489,8.78057821,19.03652274,29.09193205,39.60570759,47.6844125
E30DS30_6_3_VS_DS10DS10_0_1,400,-4.709713076,8.86652188,19.13679036,29.33543911,39.47679208,47.77035617
DS10DS10_0_1_VS_DS30DS30_6_1,0,-13.52180397,-8.293564085,-6.016056849,-4.718593922,-3.937222729,-3.312841971
DS10DS10_0_1_VS_DS30DS30_6_1,4,-13.52180397,-8.27924014,-5.786873731,-4.423234178,-3.560502978,-2.821530662
DS10DS10_0_1_VS_DS30DS30_6_1,8,-13.46450819,-8.021409132,-5.6026678,-4.118420631,-3.110014912,-2.325922169
DS10DS10_0_1_VS_DS30DS30_6_1,12,-13.40721241,-7.949789407,-5.376206231,-3.784672716,-2.701209525,-1.825730014
DS10DS10_0_1_VS_DS30DS30_6_1,16,-13.34991663,-7.734930234,-5.091875925,-3.433163108,-2.266477798,-1.290730673
DS10DS10_0_1_VS_DS30DS30_6_1,20,-13.37856452,-7.648986565,-4.857392948,-3.111017588,-1.824440859,-0.78738725
DS10DS10_0_1_VS_DS30DS30_6_1,24,-13.30694479,-7.448451337,-4.631361097,-2.781280377,-1.388849695,-0.256728064
DS10DS10_0_1_VS_DS30DS30_6_1,28,-12.61939544,-7.362507667,-4.411631783,-2.43234908,-0.934064446,0.268788826
DS10DS10_0_1_VS_DS30DS30_6_1,32,-12.94884617,-7.161972439,-4.14993331,-2.106909052,-0.477402759,0.794892997
DS10DS10_0_1_VS_DS30DS30_6_1,36,-12.93452223,-7.04738088,-3.907572163,-1.747234796,-0.036788188,1.340005043
DS10DS10_0_1_VS_DS30DS30_6_1,40,-12.87722645,-6.875493542,-3.689418482,-1.425089276,0.422885825,1.87099368
DS10DS10_0_1_VS_DS30DS30_6_1,44,-12.81993067,-6.717930148,-3.416547332,-1.073436429,0.879203737,2.389520485
DS10DS10_0_1_VS_DS30DS30_6_1,48,-12.81993067,-6.546042809,-3.174759143,-0.729088794,1.323102788,2.912057994
DS10DS10_0_1_VS_DS30DS30_6_1,52,-12.74831094,-6.43145125,-2.917787572,-0.381733131,1.765426206,3.43789001
DS10DS10_0_1_VS_DS30DS30_6_1,56,-13.04911378,-6.230916022,-2.677002058,-0.050482595,2.199012018,3.948395406
DS10DS10_0_1_VS_DS30DS30_6_1,60,-12.47615599,-6.102000518,-2.456843026,0.282138742,2.644486703,4.462338548
DS10DS10_0_1_VS_DS30DS30_6_1,64,-12.41886021,-5.944437124,-2.221070893,0.627145279,3.081653501,4.985449015
DS10DS10_0_1_VS_DS30DS30_6_1,68,-12.40453626,-5.772549786,-1.976704393,0.967439237,3.518247341,5.514002581
DS10DS10_0_1_VS_DS30DS30_6_1,72,-12.3185926,-5.657528509,-1.703117046,1.284141658,3.948825124,6.009611074
DS10DS10_0_1_VS_DS30DS30_6_1,76,-12.26129682,-5.458855393,-1.470352942,1.614738306,4.384273048,6.674958313
DS10DS10_0_1_VS_DS30DS30_6_1,80,-11.77428269,-5.333234397,-1.248045317,1.959802138,4.812129282,7.10467666
DS10DS10_0_1_VS_DS30DS30_6_1,84,-12.49047993,-5.141007056,-1.006830085,2.268053432,5.237980163,7.6919584
DS10DS10_0_1_VS_DS30DS30_6_1,88,-11.91752214,-5.043604231,-0.784235982,2.609393038,5.655809635,8.22194436
DS10DS10_0_1_VS_DS30DS30_6_1,92,-11.91752214,-4.87758971,-0.506867113,3.228760415,6.102000518,8.694634541
DS10DS10_0_1_VS_DS30DS30_6_1,96,-11.86022636,-4.76314139,-0.290460954,3.251965206,6.503070975,9.181648667
DS10DS10_0_1_VS_DS30DS30_6_1,100,-11.80293058,-4.622766731,-0.080176849,3.557351711,6.947113266,9.597043068
DS10DS10_0_1_VS_DS30DS30_6_1,104,-11.75995875,-4.442285025,0.181813832,3.867465117,7.348183723,10.12702903
DS10DS10_0_1_VS_DS30DS30_6_1,108,-11.17267701,-4.341730932,0.389539681,4.649122789,8.136000691,10.68566288
DS10DS10_0_1_VS_DS30DS30_6_1,112,-11.98914186,-4.140479507,0.601204614,4.505453622,8.623014817,11.73131086
DS10DS10_0_1_VS_DS30DS30_6_1,116,-11.47347985,-4.044079357,0.810921491,4.816569705,9.067057108,12.26129682
DS10DS10_0_1_VS_DS30DS30_6_1,120,-11.41618407,-3.880929625,1.067420372,5.614126956,9.511099399,12.63371938
